title,price,rating,availability,url
An Abundance of Katherines,10.0,5,In stock,https://books.toscrape.com/catalogue/an-abundance-of-katherines_362/index.html
Greek Mythic History,10.23,5,In stock,https://books.toscrape.com/catalogue/greek-mythic-history_698/index.html
The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,5,In stock,https://books.toscrape.com/catalogue/the-power-greens-cookbook-140-delicious-superfood-recipes_410/index.html
Dear Mr. Knightley,11.21,5,In stock,https://books.toscrape.com/catalogue/dear-mr-knightley_684/index.html
The Darkest Corners,11.33,5,In stock,https://books.toscrape.com/catalogue/the-darkest-corners_399/index.html
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,5,In stock,https://books.toscrape.com/catalogue/naturally-lean-125-nourishing-gluten-free-plant-based-recipes-all-under-300-calories_479/index.html
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5,In stock,https://books.toscrape.com/catalogue/fruits-basket-vol-2-fruits-basket-2_100/index.html
Old School (Diary of a Wimpy Kid #10),11.83,5,In stock,https://books.toscrape.com/catalogue/old-school-diary-of-a-wimpy-kid-10_723/index.html
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,In stock,https://books.toscrape.com/catalogue/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html
Every Heart a Doorway (Every Heart A Doorway #1),12.16,5,In stock,https://books.toscrape.com/catalogue/every-heart-a-doorway-every-heart-a-doorway-1_465/index.html
The Girl You Lost,12.29,5,In stock,https://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html
The Silent Wife,12.34,5,In stock,https://books.toscrape.com/catalogue/the-silent-wife_83/index.html
Agnostic: A Spirited Manifesto,12.51,5,In stock,https://books.toscrape.com/catalogue/agnostic-a-spirited-manifesto_786/index.html
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5,In stock,https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html
Walt Disney's Alice in Wonderland,12.96,5,In stock,https://books.toscrape.com/catalogue/walt-disneys-alice-in-wonderland_777/index.html
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Some Women,13.73,5,In stock,https://books.toscrape.com/catalogue/some-women_341/index.html
A Visit from the Goon Squad,14.08,5,In stock,https://books.toscrape.com/catalogue/a-visit-from-the-goon-squad_117/index.html
Roller Girl,14.1,5,In stock,https://books.toscrape.com/catalogue/roller-girl_540/index.html
The Epidemic (The Program 0.6),14.44,5,In stock,https://books.toscrape.com/catalogue/the-epidemic-the-program-06_636/index.html
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,In stock,https://books.toscrape.com/catalogue/hyperbole-and-a-half-unfortunate-situations-flawed-coping-mechanisms-mayhem-and-other-things-that-happened_702/index.html
A Gentleman's Position (Society of Gentlemen #3),14.75,5,In stock,https://books.toscrape.com/catalogue/a-gentlemans-position-society-of-gentlemen-3_584/index.html
Disrupted: My Misadventure in the Start-Up Bubble,15.28,5,In stock,https://books.toscrape.com/catalogue/disrupted-my-misadventure-in-the-start-up-bubble_148/index.html
Fifty Shades Freed (Fifty Shades #3),15.36,5,In stock,https://books.toscrape.com/catalogue/fifty-shades-freed-fifty-shades-3_156/index.html
Batman: The Dark Knight Returns (Batman),15.38,5,In stock,https://books.toscrape.com/catalogue/batman-the-dark-knight-returns-batman_792/index.html
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,5,In stock,https://books.toscrape.com/catalogue/the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1_441/index.html
Kill the Boy Band,15.52,5,In stock,https://books.toscrape.com/catalogue/kill-the-boy-band_381/index.html
Sophie's World,15.94,5,In stock,https://books.toscrape.com/catalogue/sophies-world_966/index.html
Shiver (The Wolves of Mercy Falls #1),16.23,5,In stock,https://books.toscrape.com/catalogue/shiver-the-wolves-of-mercy-falls-1_392/index.html
Lady Midnight (The Dark Artifices #1),16.28,5,In stock,https://books.toscrape.com/catalogue/lady-midnight-the-dark-artifices-1_707/index.html
"Mother, Can You Not?",16.89,5,In stock,https://books.toscrape.com/catalogue/mother-can-you-not_599/index.html
A Spy's Devotion (The Regency Spies of London #1),16.97,5,In stock,https://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html
Thirst,17.27,5,In stock,https://books.toscrape.com/catalogue/thirst_946/index.html
Set Me Free,17.46,5,In stock,https://books.toscrape.com/catalogue/set-me-free_988/index.html
Booked,17.49,5,In stock,https://books.toscrape.com/catalogue/booked_365/index.html
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Hobbit (Middle-Earth Universe),17.8,5,In stock,https://books.toscrape.com/catalogue/the-hobbit-middle-earth-universe_447/index.html
Counted With the Stars (Out from Egypt #1),17.97,5,In stock,https://books.toscrape.com/catalogue/counted-with-the-stars-out-from-egypt-1_463/index.html
Dark Notes,19.19,5,In stock,https://books.toscrape.com/catalogue/dark-notes_800/index.html
Outlander (Outlander #1),19.67,5,In stock,https://books.toscrape.com/catalogue/outlander-outlander-1_338/index.html
The Zombie Room,19.69,5,In stock,https://books.toscrape.com/catalogue/the-zombie-room_87/index.html
No One Here Gets Out Alive,20.02,5,In stock,https://books.toscrape.com/catalogue/no-one-here-gets-out-alive_336/index.html
Everyday Italian: 125 Simple and Delicious Recipes,20.1,5,In stock,https://books.toscrape.com/catalogue/everyday-italian-125-simple-and-delicious-recipes_618/index.html
Team of Rivals: The Political Genius of Abraham Lincoln,20.12,5,In stock,https://books.toscrape.com/catalogue/team-of-rivals-the-political-genius-of-abraham-lincoln_488/index.html
Redeeming Love,20.47,5,In stock,https://books.toscrape.com/catalogue/redeeming-love_826/index.html
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,In stock,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
Between Shades of Gray,20.79,5,In stock,https://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html
Adultery,20.88,5,In stock,https://books.toscrape.com/catalogue/adultery_586/index.html
Voyager (Outlander #3),21.07,5,In stock,https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html
Beautiful Creatures (Caster Chronicles #1),21.55,5,In stock,https://books.toscrape.com/catalogue/beautiful-creatures-caster-chronicles-1_125/index.html
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,5,In stock,https://books.toscrape.com/catalogue/saga-volume-3-saga-collected-editions-3_216/index.html
Born for This: How to Find the Work You Were Meant to Do,21.59,5,In stock,https://books.toscrape.com/catalogue/born-for-this-how-to-find-the-work-you-were-meant-to-do_588/index.html
Blink: The Power of Thinking Without Thinking,21.74,5,In stock,https://books.toscrape.com/catalogue/blink-the-power-of-thinking-without-thinking_132/index.html
The Silkworm (Cormoran Strike #2),23.05,5,In stock,https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
The Elephant Tree,23.82,5,In stock,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
Dark Places,23.9,5,In stock,https://books.toscrape.com/catalogue/dark-places_144/index.html
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,24.91,5,In stock,https://books.toscrape.com/catalogue/mexican-today-new-and-rediscovered-recipes-for-contemporary-kitchens_387/index.html
Chase Me (Paris Nights #2),25.27,5,In stock,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,In stock,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
The White Queen (The Cousins' War #1),25.91,5,In stock,https://books.toscrape.com/catalogue/the-white-queen-the-cousins-war-1_768/index.html
"1,000 Places to See Before You Die",26.08,5,In stock,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html
The Day the Crayons Came Home (Crayons),26.33,5,In stock,https://books.toscrape.com/catalogue/the-day-the-crayons-came-home-crayons_241/index.html
Atlas Shrugged,26.58,5,In stock,https://books.toscrape.com/catalogue/atlas-shrugged_314/index.html
Gratitude,26.66,5,In stock,https://books.toscrape.com/catalogue/gratitude_163/index.html
Let It Out: A Journey Through Journaling,26.79,5,In stock,https://books.toscrape.com/catalogue/let-it-out-a-journey-through-journaling_708/index.html
The Time Keeper,27.88,5,In stock,https://books.toscrape.com/catalogue/the-time-keeper_766/index.html
The Haters,27.89,5,In stock,https://books.toscrape.com/catalogue/the-haters_67/index.html
Modern Romance,28.26,5,In stock,https://books.toscrape.com/catalogue/modern-romance_820/index.html
The Passion of Dolssa,28.32,5,In stock,https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html
Les Fleurs du Mal,29.04,5,In stock,https://books.toscrape.com/catalogue/les-fleurs-du-mal_530/index.html
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,In stock,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html
Looking for Lovely: Collecting the Moments that Matter,29.14,5,In stock,https://books.toscrape.com/catalogue/looking-for-lovely-collecting-the-moments-that-matter_710/index.html
The Hunger Games (The Hunger Games #1),29.85,5,In stock,https://books.toscrape.com/catalogue/the-hunger-games-the-hunger-games-1_349/index.html
All the Light We Cannot See,29.87,5,In stock,https://books.toscrape.com/catalogue/all-the-light-we-cannot-see_660/index.html
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,5,In stock,https://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html
Frostbite (Vampire Academy #2),29.99,5,In stock,https://books.toscrape.com/catalogue/frostbite-vampire-academy-2_810/index.html
The Origin of Species,10.01,4,In stock,https://books.toscrape.com/catalogue/the-origin-of-species_499/index.html
History of Beauty,10.29,4,In stock,https://books.toscrape.com/catalogue/history-of-beauty_521/index.html
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,4,In stock,https://books.toscrape.com/catalogue/nano-what-now-finding-your-editing-process-revising-your-nanowrimo-book-and-building-a-writing-career-through-publishing-and-beyond_566/index.html
I Am Pilgrim (Pilgrim #1),10.6,4,In stock,https://books.toscrape.com/catalogue/i-am-pilgrim-pilgrim-1_703/index.html
Green Eggs and Ham (Beginner Books B-16),10.79,4,In stock,https://books.toscrape.com/catalogue/green-eggs-and-ham-beginner-books-b-16_165/index.html
City of Fallen Angels (The Mortal Instruments #4),11.23,4,In stock,https://books.toscrape.com/catalogue/city-of-fallen-angels-the-mortal-instruments-4_677/index.html
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,4,In stock,https://books.toscrape.com/catalogue/the-sleep-revolution-transforming-your-life-one-night-at-a-time_608/index.html
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,4,In stock,https://books.toscrape.com/catalogue/the-moosewood-cookbook-recipes-from-moosewood-restaurant-ithaca-new-york_574/index.html
Night Shift (Night Shift #1-20),12.75,4,In stock,https://books.toscrape.com/catalogue/night-shift-night-shift-1-20_335/index.html
New Moon (Twilight #2),12.86,4,In stock,https://books.toscrape.com/catalogue/new-moon-twilight-2_105/index.html
Running with Scissors,12.91,4,In stock,https://books.toscrape.com/catalogue/running-with-scissors_215/index.html
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,4,In stock,https://books.toscrape.com/catalogue/the-elegant-universe-superstrings-hidden-dimensions-and-the-quest-for-the-ultimate-theory_245/index.html
Life of Pi,13.22,4,In stock,https://books.toscrape.com/catalogue/life-of-pi_475/index.html
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
Poems That Make Grown Women Cry,14.19,4,In stock,https://books.toscrape.com/catalogue/poems-that-make-grown-women-cry_824/index.html
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
Eight Hundred Grapes,14.39,4,In stock,https://books.toscrape.com/catalogue/eight-hundred-grapes_690/index.html
Scarlet (The Lunar Chronicles #2),14.57,4,In stock,https://books.toscrape.com/catalogue/scarlet-the-lunar-chronicles-2_218/index.html
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,In stock,https://books.toscrape.com/catalogue/far-away-places-on-the-brink-of-change-seven-continents-twenty-five-years_694/index.html
The Secret Garden,15.08,4,In stock,https://books.toscrape.com/catalogue/the-secret-garden_413/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
One with You (Crossfire #5),15.71,4,In stock,https://books.toscrape.com/catalogue/one-with-you-crossfire-5_626/index.html
First and First (Five Boroughs #3),15.97,4,In stock,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html
Something More Than This,16.24,4,In stock,https://books.toscrape.com/catalogue/something-more-than-this_834/index.html
The Gunning of America: Business and the Making of American Gun Culture,16.81,4,In stock,https://books.toscrape.com/catalogue/the-gunning-of-america-business-and-the-making-of-american-gun-culture_347/index.html
